session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad,imOfOPT
data/ssb_converted/explorative.xml_0,7,1000,OPT,3,3,13.475832942551506,0.0296296296296296,331,155,0,0,1
data/ssb_converted/explorative.xml_0,7,1000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.7837,861,0,0,0.9344815981266835
data/ssb_converted/explorative.xml_0,7,1000,TAP,7,7,31.66623603226773,0.04603174603174599,30,420,7,0,2.1436652843434474
data/ssb_converted/explorative.xml_0,7,2000,OPT,5,5,22.717417717194742,0.039999999999999945,387,170,0,0,1
data/ssb_converted/explorative.xml_0,7,2000,NAIVE,7,3,13.8041675956671,0.03703703703703698,0.2542,70,0,0,0.8047756396956979
data/ssb_converted/explorative.xml_0,7,2000,TAP,7,7,31.66623603226773,0.04603174603174599,8,173,7,0,1.8461247433436185
data/ssb_converted/explorative.xml_0,7,3000,OPT,2,2,9.050674262643705,0.027777777777777735,354,45,0,0,1
data/ssb_converted/explorative.xml_0,7,3000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.1053,70,0,0,0.7719408967266947
data/ssb_converted/explorative.xml_0,7,3000,TAP,7,7,31.66623603226773,0.044444444444444384,10,170,7,0,1.7708030903928345
data/ssb_converted/explorative.xml_0,7,4000,OPT,4,4,18.147958436979103,0.036111111111111066,356,95,0,0,1
data/ssb_converted/explorative.xml_0,7,4000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.1763,70,0,0,0.7008114773880499
data/ssb_converted/explorative.xml_0,7,4000,TAP,7,7,31.66623603226773,0.046031746031745965,8,167,7,0,1.6076349046977647
data/ssb_converted/explorative.xml_0,7,5000,OPT,5,5,22.596509905557333,0.04222222222222216,350,124,0,0,1
data/ssb_converted/explorative.xml_0,7,5000,NAIVE,7,3,13.8041675956671,0.03703703703703698,0.179,70,0,0,0.8326579571765906
data/ssb_converted/explorative.xml_0,7,5000,TAP,7,7,31.66623603226773,0.047619047619047575,10,169,7,0,1.9100857203715786
data/ssb_converted/explorative.xml_0,7,6000,OPT,5,5,22.615561769624023,0.04444444444444442,369,120,0,0,1
data/ssb_converted/explorative.xml_0,7,6000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.204,72,0,0,0.7558755378507347
data/ssb_converted/explorative.xml_0,7,6000,TAP,7,7,31.66623603226773,0.047619047619047575,9,167,7,0,1.733949767468175
data/ssb_converted/explorative.xml_0,7,7000,OPT,6,6,27.220589243385007,0.04814814814814811,351,143,0,0,1
data/ssb_converted/explorative.xml_0,7,7000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.0404,68,0,0,0.8396007264094087
data/ssb_converted/explorative.xml_0,7,7000,TAP,7,7,31.66623603226773,0.047619047619047575,2,156,7,0,1.9260121692298924
data/ssb_converted/explorative.xml_0,7,8000,OPT,6,6,27.23306720643959,0.046296296296296224,341,143,0,0,1
data/ssb_converted/explorative.xml_0,7,8000,NAIVE,7,3,13.8041675956671,0.03703703703703698,0.1395,71,0,0,0.835855276888923
data/ssb_converted/explorative.xml_0,7,8000,TAP,7,7,31.66623603226773,0.046031746031745965,5,164,7,0,1.917420250322745
data/ssb_converted/explorative.xml_0,7,9000,OPT,2,2,9.047769582948195,0.0222222222222222,339,283,0,0,1
data/ssb_converted/explorative.xml_0,7,9000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.1193,71,0,0,0.9521871042525256
data/ssb_converted/explorative.xml_0,7,9000,TAP,7,7,31.66623603226773,0.04603174603174599,5,165,7,0,2.184281042748733
data/ssb_converted/explorative.xml_0,7,10000,OPT,5,5,22.630944412374117,0.04888888888888889,363,354,0,0,1
data/ssb_converted/explorative.xml_0,7,10000,NAIVE,7,3,13.8041675956671,0.03333333333333329,0.2102,70,0,0,0.9231123799340625
data/ssb_converted/explorative.xml_0,7,10000,TAP,7,7,31.66623603226773,0.04761904761904761,6,396,7,0,2.1175847297359467
data/ssb_converted/explorative.xml_1,5,1000,OPT,5,5,25.500802651400175,0.04222222222222216,17,119,0,0,1
data/ssb_converted/explorative.xml_1,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0918,69,0,0,0.9450546984199134
data/ssb_converted/explorative.xml_1,5,1000,TAP,5,5,25.500802651400175,0.04444444444444442,2,120,5,0,1.5654660297336602
data/ssb_converted/explorative.xml_1,5,2000,OPT,4,4,20.365126190500384,0.036111111111111066,16,93,0,0,1
data/ssb_converted/explorative.xml_1,5,2000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0834,71,0,0,0.8242528712368189
data/ssb_converted/explorative.xml_1,5,2000,TAP,5,5,25.500802651400175,0.04444444444444442,2,348,5,0,1.3653599860294436
data/ssb_converted/explorative.xml_1,5,3000,OPT,4,4,20.454795450222296,0.038888888888888834,16,94,0,0,1
data/ssb_converted/explorative.xml_1,5,3000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0739,71,0,0,0.9450546984199134
data/ssb_converted/explorative.xml_1,5,3000,TAP,5,5,25.500802651400175,0.0422222222222222,2,115,5,0,1.5654660297336602
data/ssb_converted/explorative.xml_1,5,4000,OPT,3,3,15.39455529628126,0.03333333333333329,8,69,0,0,1
data/ssb_converted/explorative.xml_1,5,4000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0565,69,0,0,1.0155420177463785
data/ssb_converted/explorative.xml_1,5,4000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.6822270004129902
data/ssb_converted/explorative.xml_1,5,5000,OPT,2,2,10.186762162360441,0.0222222222222222,17,46,0,0,1
data/ssb_converted/explorative.xml_1,5,5000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0665,69,0,0,0.9439708717399379
data/ssb_converted/explorative.xml_1,5,5000,TAP,5,5,25.500802651400175,0.0422222222222222,2,116,5,0,1.5636706904242454
data/ssb_converted/explorative.xml_1,5,6000,OPT,2,2,10.186762162360441,0.0222222222222222,15,48,0,0,1
data/ssb_converted/explorative.xml_1,5,6000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0656,71,0,0,0.8720124487791555
data/ssb_converted/explorative.xml_1,5,6000,TAP,5,5,25.500802651400175,0.04222222222222216,2,118,5,0,1.444472863159163
data/ssb_converted/explorative.xml_1,5,7000,OPT,2,2,10.268033287861854,0.027777777777777735,15,47,0,0,1
data/ssb_converted/explorative.xml_1,5,7000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.07,73,0,0,1.0888781065313804
data/ssb_converted/explorative.xml_1,5,7000,TAP,5,5,25.500802651400175,0.04222222222222216,2,119,5,0,1.8037069062199245
data/ssb_converted/explorative.xml_1,5,8000,OPT,3,3,15.39455529628126,0.03703703703703698,18,71,0,0,1
data/ssb_converted/explorative.xml_1,5,8000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0828,71,0,0,1.0576055825112294
data/ssb_converted/explorative.xml_1,5,8000,TAP,5,5,25.500802651400175,0.04444444444444442,2,119,5,0,1.751904535310147
data/ssb_converted/explorative.xml_1,5,9000,OPT,4,4,20.454795450222296,0.036111111111111066,15,92,0,0,1
data/ssb_converted/explorative.xml_1,5,9000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0687,70,0,0,0.8393067648681259
data/ssb_converted/explorative.xml_1,5,9000,TAP,5,5,25.500802651400175,0.0422222222222222,2,119,5,0,1.3902964887889528
data/ssb_converted/explorative.xml_1,5,10000,OPT,4,4,20.454795450222296,0.036111111111111066,16,92,0,0,1
data/ssb_converted/explorative.xml_1,5,10000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0716,69,0,0,0.8397670897247282
data/ssb_converted/explorative.xml_1,5,10000,TAP,5,5,25.500802651400175,0.0422222222222222,2,116,5,0,1.3910590085953276
data/ssb_converted/explorative.xml_2,5,1000,OPT,2,2,10.192596980903101,0.0222222222222222,15,47,0,0,1
data/ssb_converted/explorative.xml_2,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0698,72,0,0,0.9842679005189581
data/ssb_converted/explorative.xml_2,5,1000,TAP,5,5,25.500802651400175,0.04222222222222216,2,117,5,0,1.6304219903841617
data/ssb_converted/explorative.xml_2,5,2000,OPT,2,2,10.268033287861854,0.027777777777777735,27,48,0,0,1
data/ssb_converted/explorative.xml_2,5,2000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0694,69,0,0,1.1425751199157805
data/ssb_converted/explorative.xml_2,5,2000,TAP,5,5,25.500802651400175,0.04222222222222216,2,116,5,0,1.8926550385258938
data/ssb_converted/explorative.xml_2,5,3000,OPT,5,5,25.500802651400175,0.04222222222222216,16,119,0,0,1
data/ssb_converted/explorative.xml_2,5,3000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0792,71,0,0,0.9349206706718839
data/ssb_converted/explorative.xml_2,5,3000,TAP,5,5,25.500802651400175,0.04444444444444442,2,122,5,0,1.5486791959023034
data/ssb_converted/explorative.xml_2,5,4000,OPT,4,4,20.454795450222296,0.036111111111111066,10,93,0,0,1
data/ssb_converted/explorative.xml_2,5,4000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0651,70,0,0,0.8507775720169738
data/ssb_converted/explorative.xml_2,5,4000,TAP,5,5,25.500802651400175,0.039999999999999945,2,176,5,0,1.4092976735406615
data/ssb_converted/explorative.xml_2,5,5000,OPT,4,4,20.454795450222296,0.038888888888888834,14,93,0,0,1
data/ssb_converted/explorative.xml_2,5,5000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0644,304,0,0,1.0181323540374416
data/ssb_converted/explorative.xml_2,5,5000,TAP,5,5,25.500802651400175,0.039999999999999945,2,122,5,0,1.6865178456688525
data/ssb_converted/explorative.xml_2,5,6000,OPT,4,4,20.454795450222296,0.036111111111111066,15,95,0,0,1
data/ssb_converted/explorative.xml_2,5,6000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0689,70,0,0,0.848752986927541
data/ssb_converted/explorative.xml_2,5,6000,TAP,5,5,25.500802651400175,0.04222222222222216,2,120,5,0,1.4059439849265405
data/ssb_converted/explorative.xml_2,5,7000,OPT,4,4,20.454795450222296,0.038888888888888834,20,93,0,0,1
data/ssb_converted/explorative.xml_2,5,7000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0605,70,0,0,0.9797843059332463
data/ssb_converted/explorative.xml_2,5,7000,TAP,5,5,25.500802651400175,0.04444444444444442,2,116,5,0,1.6229949969765156
data/ssb_converted/explorative.xml_2,5,8000,OPT,2,2,10.262198469319195,0.027777777777777735,14,45,0,0,1
data/ssb_converted/explorative.xml_2,5,8000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0286,69,0,0,1.1427171942319745
data/ssb_converted/explorative.xml_2,5,8000,TAP,5,5,25.500802651400175,0.04444444444444442,2,118,5,0,1.8928903820632268
data/ssb_converted/explorative.xml_2,5,9000,OPT,3,3,15.319118989322506,0.0296296296296296,21,70,0,0,1
data/ssb_converted/explorative.xml_2,5,9000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0711,71,0,0,0.8736526871732249
data/ssb_converted/explorative.xml_2,5,9000,TAP,5,5,25.500802651400175,0.04222222222222216,2,350,5,0,1.4471898884179906
data/ssb_converted/explorative.xml_2,5,10000,OPT,4,4,20.454795450222296,0.036111111111111066,7,92,0,0,1
data/ssb_converted/explorative.xml_2,5,10000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.072,72,0,0,1.1427171942319745
data/ssb_converted/explorative.xml_2,5,10000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.8928903820632268
data/ssb_converted/explorative.xml_3,5,1000,OPT,4,4,20.454795450222296,0.036111111111111066,16,91,0,0,1
data/ssb_converted/explorative.xml_3,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0708,72,0,0,1.012088236024961
data/ssb_converted/explorative.xml_3,5,1000,TAP,5,5,25.500802651400175,0.0422222222222222,3,117,5,0,1.6765058734051737
data/ssb_converted/explorative.xml_3,5,2000,OPT,3,3,15.328273441802892,0.03703703703703698,17,70,0,0,1
data/ssb_converted/explorative.xml_3,5,2000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0421,70,0,0,1.0610188654996358
data/ssb_converted/explorative.xml_3,5,2000,TAP,5,5,25.500802651400175,0.04222222222222216,2,116,5,0,1.7575585768985884
data/ssb_converted/explorative.xml_3,5,3000,OPT,3,3,15.328273441802892,0.03333333333333329,17,70,0,0,1
data/ssb_converted/explorative.xml_3,5,3000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0611,71,0,0,0.9867749325267102
data/ssb_converted/explorative.xml_3,5,3000,TAP,5,5,25.500802651400175,0.039999999999999945,2,117,5,0,1.6345748436001213
