id,projNb,selNb,tableNb,estTuples,aggNb,predicted,actual
"1-01.json|0",5,3,3,5,2,0.0477204,0.049
"1-01.json|1",5,3,4,6,4,0.881048,0.068
"1-01.json|2",6,4,5,2,5,0.88744,0.077
"1-01.json|3",4,2,4,12,3,0.709272,0.072
"1-02.json|0",6,1,4,7,3,0.586333,0.062
"1-02.json|1",6,2,4,3,3,1.06208,0.077
"1-02.json|2",7,1,5,36,4,1.78148,0.087
"1-02.json|3",4,2,4,8,3,1.4222,0.07
"1-02.json|4",4,2,4,12,3,0.577294,0.075
"1-03.json|0",3,1,3,3,2,0.529395,0.056
"1-03.json|1",3,1,3,4,2,0.498439,0.05
"1-03.json|2",3,1,3,3,2,0.829187,0.058
"1-03.json|3",3,1,3,6,2,0.915167,0.053
"1-03.json|4",3,1,3,916,2,1.13591,0.047
"1-03.json|5",4,1,3,3,3,0.789392,0.054
"1-03.json|6",5,3,3,1,3,0.264635,0.048
"1-03.json|7",4,1,4,14,3,1.3003,0.076
"1-03.json|8",4,1,4,14,3,1.31142,0.076
"1-03.json|9",3,1,3,13,2,0.616502,0.035
"1-03.json|10",4,1,4,38,3,1.22867,0.07
"1-04.json|0",3,2,3,1,2,0.38703,0.043
"1-04.json|1",3,2,3,1,2,0.387015,0.042
"1-04.json|2",3,2,4,5,1,0.560241,0.061
"1-04.json|3",4,3,3,1,2,0.264635,0.049
"1-04.json|4",4,2,3,1,2,0.38703,0.048
"1-04.json|5",4,2,3,1,2,0.38703,0.0
"1-05.json|0",5,1,3,4,2,0.526836,0.048
"1-05.json|1",5,1,3,18,2,0.952371,0.05
"1-05.json|2",6,2,4,6,3,2.87089,0.084
"1-05.json|3",4,2,4,8,3,0.833883,0.063
"1-05.json|4",5,2,5,98,4,0.941698,0.073
"1-05.json|5",5,2,5,46,4,1.44179,0.087
"2-07.json|0",2,1,2,2,1,0.181925,0.024
"2-07.json|1",3,2,3,6,2,2.16113,0.048
"2-07.json|2",3,1,2,2,1,2.04789,0.026
"2-07.json|3",3,2,3,6,2,2.16489,0.048
"2-07.json|4",4,2,4,36,3,2.27272,0.066
"2-07.json|5",3,1,3,9,2,0.412055,0.037
"2-07.json|6",3,2,3,6,2,2.16489,0.047
"2-07.json|7",3,1,2,2,1,0.519743,0.025
"2-08.json|0",4,1,2,2,1,2.04789,0.024
"2-08.json|1",6,1,3,95,3,1.40138,0.054
"2-08.json|2",5,1,2,2,1,2.04796,0.023
"2-08.json|3",3,3,3,2,2,0.221268,0.051
"2-08.json|4",5,3,4,2,3,2.1758,0.08
"2-08.json|5",5,1,2,1,1,0.144284,0.025
"2-09.json|0",6,1,2,1,1,2.03659,0.025
"2-09.json|1",6,1,3,4,2,2.2563,0.048
"2-09.json|2",8,1,2,1,1,2.03656,0.023
"2-09.json|3",5,1,3,5,2,2.25627,0.044
"2-09.json|4",5,1,2,1,1,0.508405,0.022
"2-09.json|5",4,1,3,5,2,0.849682,0.04
"2-09.json|6",6,1,3,5,2,2.10836,0.047
"2-09.json|7",6,1,3,5,2,2.10836,0.0
"2-09.json|8",7,3,4,1,3,0.273663,0.068
"2-09.json|9",8,2,4,54,4,1.18609,0.073
"2-09.json|10",8,2,4,54,4,1.18609,0.0
"2-09.json|11",8,3,4,1,4,0.274394,0.067
"2-09.json|12",8,1,2,1,1,2.03655,0.025
"2-09.json|13",9,1,3,5,2,2.10836,0.047
"2-09.json|14",5,1,2,1,1,0.508408,0.021
"2-09.json|15",6,1,3,5,2,2.35262,0.056
"2-09.json|16",6,2,3,1,2,2.11021,0.04
"2-09.json|17",7,2,4,3,3,2.31354,0.078
"2-09.json|18",7,3,4,6,3,2.62729,0.087
"2-09.json|19",7,4,4,1,3,0.824812,0.065
"2-09.json|20",8,4,4,1,4,0.405995,0.089
"2-09.json|21",8,1,2,1,1,2.03656,0.025
"2-09.json|22",6,1,2,1,1,2.03655,0.022
"2-09.json|23",9,1,3,5,2,2.35262,0.049
"2-09.json|24",7,1,3,5,2,2.10836,0.045
"2-09.json|25",8,2,4,3,3,2.50103,0.08
